id,gameId,teamId,championIdBan1,championIdBan2,championIdBan3,towerKills,baronKills,dominionVictoryScore,dragonKills,firstBaron,firstBlood,firstDragon,firstInhibitor,firstRiftHerald,firstTower,inhibitorKills,riftHeraldKills,vilemawKills,win
340144,340044,100,268,42,48,4,0,0,4,0,1,1,0,0,0,0,0,0,Fail
340151,340051,100,127,33,133,8,1,0,2,1,0,1,1,0,0,2,1,0,Win
340153,340053,100,268,245,203,3,0,0,3,0,1,1,0,0,0,0,1,0,Fail
340244,340044,200,127,133,25,8,0,0,0,0,0,0,1,1,1,1,2,0,Win
340251,340051,200,268,201,245,6,0,0,2,0,1,0,0,1,1,0,2,0,Fail
340253,340053,200,127,33,133,8,1,0,2,1,0,0,1,1,1,1,1,0,Win
390161,390061,100,202,421,143,10,1,0,2,1,0,0,1,1,1,2,1,0,Win
390168,390068,100,202,421,43,2,0,0,0,0,0,0,0,0,0,0,0,0,Fail
390172,390072,100,8,76,432,3,1,0,1,0,1,0,0,1,1,0,1,0,Fail
390176,390076,100,163,143,202,10,1,0,4,1,1,1,1,1,0,2,1,0,Win
390261,390061,200,43,39,15,3,0,0,1,0,1,1,0,0,0,0,0,0,Fail
390268,390068,200,8,76,432,11,1,0,4,1,1,1,1,1,1,3,1,0,Win
390272,390072,200,163,143,202,11,2,0,5,1,0,1,1,0,0,4,0,0,Win
390276,390076,200,8,76,432,2,0,0,0,0,0,0,0,0,1,0,0,0,Fail
1190208,1190108,100,117,114,238,11,3,0,5,1,1,0,1,1,0,5,1,0,Fail
1190226,1190126,100,21,117,41,10,1,0,4,0,0,1,1,1,1,4,1,0,Win
1190227,1190127,100,13,203,127,2,2,0,2,1,0,1,0,0,0,0,0,0,Fail
1190242,1190142,100,21,36,223,2,0,0,1,0,0,1,0,0,0,0,0,0,Fail
1190308,1190108,200,41,223,203,9,1,0,5,0,0,1,0,0,1,1,0,0,Win
1190326,1190126,200,203,13,36,3,1,0,1,1,1,0,0,0,0,0,0,0,Fail
1190327,1190127,200,48,223,41,11,1,0,4,0,1,0,1,1,1,7,2,0,Win
1190342,1190142,200,98,41,117,10,1,0,0,1,1,0,1,1,1,2,2,0,Win
1200171,1200071,100,223,13,203,6,0,0,2,0,0,1,1,0,1,1,0,0,Win
1200174,1200074,100,223,117,12,7,1,0,3,1,1,1,1,0,0,1,0,0,Win
1200192,1200092,100,21,223,48,8,2,0,1,1,0,0,0,0,0,1,0,0,Win
1200248,1200148,100,98,114,13,5,0,0,2,0,0,0,0,0,0,0,0,0,Fail
1200271,1200071,200,41,48,21,4,0,0,2,0,1,0,0,1,0,0,1,0,Fail
1200274,1200074,200,41,21,203,2,0,0,0,0,0,0,0,1,1,0,1,0,Fail
1200292,1200092,200,114,41,36,9,0,0,4,0,1,1,1,1,1,1,1,0,Fail
1200348,1200148,200,41,48,223,11,1,0,3,1,1,1,1,1,1,4,1,0,Win
1210145,1210045,100,4,114,429,2,0,0,0,0,0,0,0,0,0,0,0,0,Fail
1210172,1210072,100,18,238,114,2,0,0,0,0,1,0,0,1,0,0,1,0,Fail
1210224,1210124,100,13,114,201,8,1,0,2,0,1,0,1,1,0,3,1,0,Fail
1210245,1210045,200,238,41,7,10,1,0,4,1,1,1,1,1,1,2,2,0,Win
1210272,1210072,200,2,223,41,11,1,0,3,1,0,1,1,0,1,4,0,0,Win
1210324,1210124,200,429,223,41,11,2,0,5,1,0,1,0,0,1,2,0,0,Win
