id,gameId,teamId,participantId,profileIcon,summonerName,championId,highestAchievedSeasonTier,spell1Id,spell2Id,assists,champLevel,combatPlayerScore,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,goldEarned,goldSpent,inhibitorKills,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,objectivePlayerScore,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,totalPlayerScore,totalScoreRank,totalTimeCrowdControlDealt,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,unrealKills,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,lane,role
340145,340044,100,1,28,VFK Robo,33,UNRANKED,12,4,3,16,0,3,1,0,1,0,0,0,0,14029,13450,0,1011,3026,3512,1308,3075,3068,3363,1,5,0,5,2,00:30:02,129497,20286,13558,14,2,12,0,0,46590,4635,17581,0,0,176088,24921,31420,4376,249,0,0,00:02:20,1,0,0,0,280,3,0,2,3,16,0,TOP,SOLO
340146,340044,100,2,28,VFK Turtle,79,UNRANKED,4,11,3,15,0,2,0,0,0,0,0,0,0,10819,10700,0,1410,1031,3009,3742,3065,2043,3364,0,1,524,0,1,00:27:05,95874,9613,5451,88,14,74,0,0,23579,782,19788,0,0,137521,10524,25239,12299,34,0,0,00:10:36,1,0,18067,128,0,1,0,7,13,28,0,JUNGLE,NONE
340147,340044,100,3,28,VFK takeshi,7,UNRANKED,14,4,6,16,0,2,0,0,0,0,0,0,0,12051,11425,0,1056,3001,3285,3135,3158,1058,3340,0,0,0,0,0,00:33:41,156636,15041,5494,9,0,9,0,0,23396,1396,8539,0,0,181394,17799,14034,1788,273,0,0,00:00:56,1,0,1362,1362,0,0,0,3,4,18,0,MIDDLE,SOLO
340148,340044,100,4,28,VFK esA,236,UNRANKED,7,4,3,16,0,5,0,0,0,0,0,0,0,14851,14100,0,3031,3155,1038,3009,3508,3046,3363,1,3,776,2,1,00:11:14,9892,1977,4797,25,7,18,0,0,240544,20500,12417,0,0,254678,22922,17215,2688,334,0,0,00:04:52,3,0,4241,445,0,0,0,2,20,22,0,BOTTOM,DUO_CARRY
340149,340044,100,5,28,VFK Baiano,201,UNRANKED,3,4,7,11,0,3,0,0,0,0,0,0,0,8609,7775,0,0,3190,2303,3009,1011,1029,3364,0,0,0,0,0,00:24:30,11387,7086,7282,0,0,0,0,0,6836,749,10805,0,0,24935,7835,18087,2486,42,0,0,00:14:10,5,0,6711,0,0,0,0,7,11,40,0,BOTTOM,DUO_SUPPORT
340152,340051,100,1,4,ITZ Yang,79,UNRANKED,4,12,9,15,0,3,0,0,0,0,0,0,0,12390,11950,0,2033,1056,3025,3065,1323,3068,3340,1,3,302,2,1,00:24:20,105999,9589,11997,10,1,9,0,0,19897,1283,15917,0,0,125897,10873,27914,8490,180,0,0,00:08:18,1,0,0,0,0,1,0,4,5,17,1,JUNGLE,NONE
340153,340051,100,2,7,ITZ Revolta,203,UNRANKED,4,11,6,15,0,2,1,0,0,1,0,0,0,12504,10575,0,2032,3931,3111,3156,3053,2043,3340,2,7,0,3,3,00:21:45,15607,1341,3973,75,20,55,0,0,102478,9400,17562,0,0,130166,11609,21535,10399,37,0,0,00:04:45,9,1,12081,867,0,0,0,9,19,24,1,JUNGLE,NONE
340154,340051,100,3,4,ITZ tockers,42,UNRANKED,3,4,11,17,0,2,0,0,0,1,0,0,0,14574,13050,1,1038,3031,0,3094,3020,3078,3363,1,2,467,2,1,00:22:15,182764,29668,5463,34,2,32,0,0,61133,6407,11058,0,0,244217,36076,16521,2018,287,0,0,00:01:32,1,0,320,0,0,1,0,2,3,20,1,MIDDLE,SOLO
340155,340051,100,4,22,ITZ micaO,429,UNRANKED,4,7,9,15,0,3,1,0,0,0,1,0,0,13962,12750,1,1055,3156,3153,1037,3006,3085,3363,1,5,500,4,2,00:13:33,3805,572,4978,16,3,13,0,0,149303,12687,13905,0,0,157764,15343,18883,4978,208,0,0,00:09:46,4,0,4656,2084,0,4,0,1,11,15,1,JUNGLE,NONE
340156,340051,100,5,4,ITZ Jockster,48,UNRANKED,4,3,17,12,0,1,0,0,0,1,0,0,0,10601,9375,0,3190,3222,2303,0,3158,1029,3364,0,0,0,0,0,00:21:48,3104,2107,10366,1,1,0,0,0,18026,2368,16256,0,0,30764,4476,26718,13388,52,0,0,00:08:40,5,0,9633,0,96,2,0,13,12,49,1,JUNGLE,NONE
340157,340053,100,4,28,VFK esA,236,UNRANKED,7,4,3,18,0,2,1,0,0,0,0,0,0,18411,17700,0,3072,3031,3009,3155,3508,3087,3363,1,3,959,3,2,00:28:19,79513,4975,4671,30,1,29,0,0,297099,22211,10536,0,0,378076,27991,15416,3307,441,0,0,00:04:41,3,0,1464,804,208,1,0,4,25,29,0,JUNGLE,NONE
340158,340053,100,5,28,VFK Baiano,201,UNRANKED,3,4,6,14,0,3,0,0,0,0,0,0,0,9796,9375,0,3009,0,2303,3742,3105,3067,3364,0,0,0,0,0,00:26:11,9502,4526,6476,1,1,0,0,0,7416,130,14876,0,0,27127,4657,21973,3405,50,0,0,00:10:29,5,0,10208,0,620,0,0,9,18,56,0,JUNGLE,NONE
340250,340044,200,6,4,ITZ Yang,245,UNRANKED,4,12,8,17,0,2,1,0,0,1,0,0,0,14992,13860,0,3082,3068,3025,3065,1323,1011,3340,2,7,0,5,3,00:21:55,146761,15467,15771,3,1,2,0,0,44388,5722,21354,0,0,191149,21190,37908,7486,288,0,0,00:21:01,1,1,0,0,782,2,0,2,4,18,1,TOP,SOLO
340251,340044,200,7,7,ITZ Revolta,203,UNRANKED,4,11,13,16,0,2,0,0,0,0,0,1,0,12205,10300,0,3932,2032,3156,3111,3052,3035,3364,0,0,0,0,0,00:24:22,15979,1242,9034,97,14,83,0,0,107481,9227,14168,0,0,141811,10469,23203,12487,42,0,0,00:05:05,9,0,18349,0,0,1,0,8,30,28,1,JUNGLE,NONE
