id,gameId,teamId,participantId,timeline,data
1,1200071,100,1,10-20,8.9
2,1200071,100,1,20-30,9.6
3,1200071,100,1,0-10,6.2
4,1200071,100,2,10-20,0.7
5,1200071,100,2,20-30,0.1
6,1200071,100,2,0-10,0.1
7,1200071,100,3,10-20,10.7
8,1200071,100,3,20-30,7.9
9,1200071,100,3,0-10,8.8
10,1200071,100,4,10-20,10.0
11,1200071,100,4,20-30,9.4
12,1200071,100,4,0-10,7.9
13,1200071,100,5,10-20,1.1
14,1200071,100,5,20-30,1.4
15,1200071,100,5,0-10,1.1
16,1200071,200,6,10-20,9.2
17,1200071,200,6,20-30,6.3
18,1200071,200,6,0-10,7.8
19,1200071,200,7,10-20,1.4
20,1200071,200,7,20-30,2.0
21,1200071,200,7,0-10,0.1
22,1200071,200,8,10-20,8.6
23,1200071,200,8,20-30,9.4
24,1200071,200,8,0-10,5.8
25,1200071,200,9,10-20,10.3
26,1200071,200,9,20-30,7.6
27,1200071,200,9,0-10,7.0
28,1200071,200,10,10-20,1.1
29,1200071,200,10,20-30,1.6
30,1200071,200,10,0-10,1.1
31,1200074,100,1,10-20,4.4
32,1200074,100,1,0-10,5.2
33,1200074,100,2,10-20,0.7
34,1200074,100,2,0-10,0.7
35,1200074,100,3,10-20,10.0
36,1200074,100,3,0-10,6.6
37,1200074,100,4,10-20,9.6
38,1200074,100,4,0-10,7.9
39,1200074,100,5,10-20,1.3
40,1200074,100,5,0-10,1.4
41,1200074,200,6,10-20,6.9
42,1200074,200,6,0-10,5.6
43,1200074,200,7,10-20,0.7
44,1200074,200,7,0-10,0.4
45,1200074,200,8,10-20,8.4
46,1200074,200,8,0-10,6.3
47,1200074,200,9,10-20,8.0
48,1200074,200,9,0-10,6.3
49,1200074,200,10,10-20,0.9
50,1200074,200,10,0-10,0.7
51,1190108,100,1,10-20,10.7
52,1190108,100,1,20-30,7.1
53,1190108,100,1,30-end,4.825
54,1190108,100,1,0-10,7.0
55,1190108,100,2,10-20,0.8
56,1190108,100,2,20-30,2.0
57,1190108,100,2,30-end,1.25
58,1190108,100,2,0-10,0.4
59,1190108,100,3,10-20,8.7
60,1190108,100,3,20-30,7.2
61,1190108,100,3,30-end,6.725
62,1190108,100,3,0-10,7.5
63,1190108,100,4,10-20,6.6
64,1190108,100,4,20-30,8.4
65,1190108,100,4,30-end,7.2
66,1190108,100,4,0-10,7.7
67,1190108,100,5,10-20,1.0
68,1190108,100,5,20-30,2.2
69,1190108,100,5,30-end,1.325
70,1190108,100,5,0-10,0.8
71,1190108,200,6,10-20,10.9
72,1190108,200,6,20-30,11.0
73,1190108,200,6,30-end,8.125
74,1190108,200,6,0-10,7.4
75,1190108,200,7,10-20,1.4
76,1190108,200,7,20-30,1.3
77,1190108,200,7,30-end,1.925
78,1190108,200,7,0-10,0.0
79,1190108,200,8,10-20,7.0
80,1190108,200,8,20-30,8.2
81,1190108,200,8,30-end,7.9
82,1190108,200,8,0-10,8.5
83,1190108,200,9,10-20,8.9
84,1190108,200,9,20-30,5.4
85,1190108,200,9,30-end,7.2
86,1190108,200,9,0-10,8.2
87,1190108,200,10,10-20,1.7
88,1190108,200,10,20-30,0.6
89,1190108,200,10,30-end,0.875
90,1190108,200,10,0-10,1.0
91,1200092,100,1,10-20,8.4
92,1200092,100,1,20-30,8.4
93,1200092,100,1,30-end,7.7
94,1200092,100,1,0-10,6.5
95,1200092,100,2,10-20,1.4
96,1200092,100,2,20-30,1.9
97,1200092,100,2,30-end,2.4
98,1200092,100,2,0-10,0.0
99,1200092,100,3,10-20,7.0
100,1200092,100,3,20-30,7.0
101,1200092,100,3,30-end,5.1
102,1200092,100,3,0-10,9.8
103,1200092,100,4,10-20,8.5
104,1200092,100,4,20-30,8.0
105,1200092,100,4,30-end,6.2
106,1200092,100,4,0-10,7.6
107,1200092,100,5,10-20,1.3
108,1200092,100,5,20-30,2.0
109,1200092,100,5,30-end,3.9
110,1200092,100,5,0-10,1.0
111,1200092,200,6,10-20,5.6
112,1200092,200,6,20-30,6.8
113,1200092,200,6,30-end,4.9
114,1200092,200,6,0-10,7.5
115,1200092,200,7,10-20,1.2
116,1200092,200,7,20-30,1.5
117,1200092,200,7,30-end,1.9
118,1200092,200,7,0-10,0.1
119,1200092,200,8,10-20,7.4
120,1200092,200,8,20-30,10.1
121,1200092,200,8,30-end,4.1
122,1200092,200,8,0-10,8.2
123,1200092,200,9,10-20,7.5
124,1200092,200,9,20-30,10.5
125,1200092,200,9,30-end,6.4
126,1200092,200,9,0-10,7.9
127,1200092,200,10,10-20,1.1
128,1200092,200,10,20-30,1.1
129,1200092,200,10,30-end,0.4
130,1200092,200,10,0-10,0.8
131,1190126,100,1,10-20,8.6
132,1190126,100,1,20-30,7.0
133,1190126,100,1,30-end,4.4
134,1190126,100,1,0-10,7.2
135,1190126,100,2,10-20,0.7
136,1190126,100,2,20-30,0.9
137,1190126,100,2,30-end,3.0
138,1190126,100,2,0-10,0.5
139,1190126,100,3,10-20,9.8
140,1190126,100,3,20-30,9.2
141,1190126,100,3,30-end,7.6
142,1190126,100,3,0-10,8.0
143,1190126,100,4,10-20,8.8
144,1190126,100,4,20-30,7.3
145,1190126,100,4,30-end,6.2
146,1190126,100,4,0-10,8.4
147,1190126,100,5,10-20,1.2
148,1190126,100,5,20-30,0.8
149,1190126,100,5,30-end,1.1
150,1190126,100,5,0-10,0.9
151,1190126,200,6,10-20,7.0
152,1190126,200,6,20-30,8.0
153,1190126,200,6,30-end,6.8
154,1190126,200,6,0-10,6.9
155,1190126,200,7,10-20,0.6
156,1190126,200,7,20-30,1.9
157,1190126,200,7,30-end,3.0
158,1190126,200,7,0-10,0.2
159,1190126,200,8,10-20,8.8
160,1190126,200,8,20-30,7.9
161,1190126,200,8,30-end,7.6
162,1190126,200,8,0-10,8.7
163,1190126,200,9,10-20,9.2
164,1190126,200,9,20-30,7.3
165,1190126,200,9,30-end,6.0
166,1190126,200,9,0-10,8.1
167,1190126,200,10,10-20,1.4
168,1190126,200,10,20-30,1.8
169,1190126,200,10,30-end,2.2
170,1190126,200,10,0-10,0.9
171,1190127,100,1,10-20,9.3
172,1190127,100,1,20-30,7.6
173,1190127,100,1,30-end,9.33333333333333
174,1190127,100,1,0-10,5.5
175,1190127,100,2,10-20,2.1
176,1190127,100,2,20-30,2.0
177,1190127,100,2,30-end,3.8
178,1190127,100,2,0-10,0.6
179,1190127,100,3,10-20,7.6
180,1190127,100,3,20-30,5.6
181,1190127,100,3,30-end,6.66666666666667
182,1190127,100,3,0-10,5.9
183,1190127,100,4,10-20,6.9
184,1190127,100,4,20-30,8.3
185,1190127,100,4,30-end,7.33333333333333
186,1190127,100,4,0-10,8.8
187,1190127,100,5,10-20,0.8
188,1190127,100,5,20-30,1.7
189,1190127,100,5,30-end,0.866666666666667
190,1190127,100,5,0-10,0.2
191,1190127,200,6,10-20,8.6
192,1190127,200,6,20-30,7.7
193,1190127,200,6,30-end,9.46666666666667
194,1190127,200,6,0-10,8.3
195,1190127,200,7,10-20,1.5
196,1190127,200,7,20-30,0.9
197,1190127,200,7,30-end,1.2
198,1190127,200,7,0-10,0.4
199,1190127,200,8,10-20,8.5
200,1190127,200,8,20-30,6.4
201,1190127,200,8,30-end,7.0
202,1190127,200,8,0-10,8.1
203,1190127,200,9,10-20,8.3
204,1190127,200,9,20-30,7.5
205,1190127,200,9,30-end,8.8
206,1190127,200,9,0-10,6.8
207,1190127,200,10,10-20,1.1
208,1190127,200,10,20-30,0.7
209,1190127,200,10,30-end,0.8
210,1190127,200,10,0-10,0.9
211,1200148,100,1,10-20,9.1
212,1200148,100,1,20-30,8.3
213,1200148,100,1,30-end,10.0
214,1200148,100,1,0-10,3.6
215,1200148,100,2,10-20,0.7
216,1200148,100,2,20-30,1.0
217,1200148,100,2,30-end,1.4
218,1200148,100,2,0-10,0.4
219,1200148,100,3,10-20,10.3
220,1200148,100,3,20-30,9.8
221,1200148,100,3,30-end,11.3
222,1200148,100,3,0-10,8.8
223,1200148,100,4,10-20,9.7
224,1200148,100,4,20-30,8.4
225,1200148,100,4,30-end,10.9
226,1200148,100,4,0-10,6.7
227,1200148,100,5,10-20,0.9
228,1200148,100,5,20-30,1.1
229,1200148,100,5,30-end,1.6
230,1200148,100,5,0-10,1.0
231,1200148,200,6,10-20,9.9
232,1200148,200,6,20-30,9.5
233,1200148,200,6,30-end,10.7
234,1200148,200,6,0-10,4.8
235,1200148,200,7,10-20,0.5
236,1200148,200,7,20-30,1.4
237,1200148,200,7,30-end,1.0
238,1200148,200,7,0-10,0.1
239,1200148,200,8,10-20,9.4
240,1200148,200,8,20-30,9.8
241,1200148,200,8,30-end,6.2
242,1200148,200,8,0-10,7.0
243,1200148,200,9,10-20,8.9
244,1200148,200,9,20-30,11.9
245,1200148,200,9,30-end,6.9
246,1200148,200,9,0-10,7.6
247,1200148,200,10,10-20,1.0
248,1200148,200,10,20-30,0.8
249,1200148,200,10,30-end,0.9
250,1200148,200,10,0-10,0.8
251,1190142,100,1,10-20,5.3
252,1190142,100,1,0-10,3.2
253,1190142,100,2,10-20,1.4
254,1190142,100,2,0-10,0.3
255,1190142,100,3,10-20,6.9
256,1190142,100,3,0-10,6.4
257,1190142,100,4,10-20,6.9
258,1190142,100,4,0-10,4.5
259,1190142,100,5,10-20,1.3
260,1190142,100,5,0-10,1.0
261,1190142,200,6,10-20,6.5
262,1190142,200,6,0-10,4.6
263,1190142,200,7,10-20,0.9
264,1190142,200,7,0-10,0.3
265,1190142,200,8,10-20,9.0
266,1190142,200,8,0-10,8.6
267,1190142,200,9,10-20,9.3
268,1190142,200,9,0-10,7.6
269,1190142,200,10,10-20,0.6
270,1190142,200,10,0-10,0.7
271,1210045,100,1,10-20,8.7
272,1210045,100,1,20-30,7.7
273,1210045,100,1,30-end,7.0
274,1210045,100,1,0-10,5.7
275,1210045,100,2,10-20,0.8
276,1210045,100,2,20-30,1.5
277,1210045,100,2,30-end,3.1
278,1210045,100,2,0-10,0.2
279,1210045,100,3,10-20,9.3
280,1210045,100,3,20-30,9.0
281,1210045,100,3,30-end,8.1
282,1210045,100,3,0-10,8.5
283,1210045,100,4,10-20,8.3
284,1210045,100,4,20-30,9.2
285,1210045,100,4,30-end,7.6
286,1210045,100,4,0-10,6.6
287,1210045,100,5,10-20,1.0
288,1210045,100,5,20-30,1.1
289,1210045,100,5,30-end,2.0
290,1210045,100,5,0-10,0.9
291,1210045,200,6,10-20,8.3
292,1210045,200,6,20-30,5.9
293,1210045,200,6,30-end,5.6
294,1210045,200,6,0-10,7.4
295,1210045,200,7,10-20,1.1
296,1210045,200,7,20-30,2.8
297,1210045,200,7,30-end,1.6
298,1210045,200,7,0-10,0.4
299,1210045,200,8,10-20,9.9
300,1210045,200,8,20-30,8.7
301,1210045,200,8,30-end,8.4
302,1210045,200,8,0-10,8.6
303,1210045,200,9,10-20,8.1
304,1210045,200,9,20-30,9.8
305,1210045,200,9,30-end,8.8
306,1210045,200,9,0-10,9.7
307,1210045,200,10,10-20,1.5
308,1210045,200,10,20-30,2.3
