id,gameId,teamId,participantId,timeline,data
1,1200071,100,1,10-20,-0.300000000000001
2,1200071,100,1,20-30,3.3
3,1200071,100,1,0-10,-1.6
4,1200071,100,2,10-20,-0.7
5,1200071,100,2,20-30,-1.9
6,1200071,100,2,0-10,0.0
7,1200071,100,3,10-20,2.1
8,1200071,100,3,20-30,-1.5
9,1200071,100,3,0-10,3.0
10,1200071,100,4,10-20,-0.15
11,1200071,100,4,20-30,0.8
12,1200071,100,4,0-10,0.450000000000001
13,1200071,100,5,10-20,-0.15
14,1200071,100,5,20-30,0.8
15,1200071,100,5,0-10,0.450000000000001
16,1200071,200,6,10-20,0.300000000000001
17,1200071,200,6,20-30,-3.3
18,1200071,200,6,0-10,1.6
19,1200071,200,7,10-20,0.7
20,1200071,200,7,20-30,1.9
21,1200071,200,7,0-10,0.0
22,1200071,200,8,10-20,-2.1
23,1200071,200,8,20-30,1.5
24,1200071,200,8,0-10,-3.0
25,1200071,200,9,10-20,0.15
26,1200071,200,9,20-30,-0.8
27,1200071,200,9,0-10,-0.450000000000001
28,1200071,200,10,10-20,0.15
29,1200071,200,10,20-30,-0.8
30,1200071,200,10,0-10,-0.450000000000001
31,1200074,100,3,10-20,1.6
32,1200074,100,3,0-10,0.299999999999999
33,1200074,200,8,10-20,-1.6
34,1200074,200,8,0-10,-0.299999999999999
35,1190108,100,1,10-20,-0.2
36,1190108,100,1,20-30,-3.9
37,1190108,100,1,30-end,-3.3
38,1190108,100,1,0-10,-0.4
39,1190108,100,2,10-20,-0.6
40,1190108,100,2,20-30,0.7
41,1190108,100,2,30-end,-0.675
42,1190108,100,2,0-10,0.4
43,1190108,100,3,10-20,1.7
44,1190108,100,3,20-30,-1.0
45,1190108,100,3,30-end,-1.175
46,1190108,100,3,0-10,-1.0
47,1190108,100,4,10-20,-1.5
48,1190108,100,4,20-30,2.3
49,1190108,100,4,30-end,0.225
50,1190108,100,4,0-10,-0.35
51,1190108,100,5,10-20,-1.5
52,1190108,100,5,20-30,2.3
53,1190108,100,5,30-end,0.225
54,1190108,100,5,0-10,-0.35
55,1190108,200,6,10-20,0.2
56,1190108,200,6,20-30,3.9
57,1190108,200,6,30-end,3.3
58,1190108,200,6,0-10,0.4
59,1190108,200,7,10-20,0.6
60,1190108,200,7,20-30,-0.7
61,1190108,200,7,30-end,0.675
62,1190108,200,7,0-10,-0.4
63,1190108,200,8,10-20,-1.7
64,1190108,200,8,20-30,1.0
65,1190108,200,8,30-end,1.175
66,1190108,200,8,0-10,1.0
67,1190108,200,9,10-20,1.5
68,1190108,200,9,20-30,-2.3
69,1190108,200,9,30-end,-0.225
70,1190108,200,9,0-10,0.35
71,1190108,200,10,10-20,1.5
72,1190108,200,10,20-30,-2.3
73,1190108,200,10,30-end,-0.225
74,1190108,200,10,0-10,0.35
75,1200092,100,1,10-20,2.8
76,1200092,100,1,20-30,1.6
77,1200092,100,1,30-end,2.8
78,1200092,100,1,0-10,-1.0
79,1200092,100,2,10-20,0.2
80,1200092,100,2,20-30,0.4
81,1200092,100,2,30-end,0.5
82,1200092,100,2,0-10,-0.1
83,1200092,100,3,10-20,-0.4
84,1200092,100,3,20-30,-3.1
85,1200092,100,3,30-end,1.0
86,1200092,100,3,0-10,1.6
87,1200092,100,4,10-20,0.6
88,1200092,100,4,20-30,-0.8
89,1200092,100,4,30-end,1.65
90,1200092,100,4,0-10,-0.05
91,1200092,100,5,10-20,0.6
92,1200092,100,5,20-30,-0.8
93,1200092,100,5,30-end,1.65
94,1200092,100,5,0-10,-0.05
95,1200092,200,6,10-20,-2.8
96,1200092,200,6,20-30,-1.6
97,1200092,200,6,30-end,-2.8
98,1200092,200,6,0-10,1.0
99,1200092,200,7,10-20,-0.2
100,1200092,200,7,20-30,-0.4
101,1200092,200,7,30-end,-0.5
102,1200092,200,7,0-10,0.1
103,1200092,200,8,10-20,0.4
104,1200092,200,8,20-30,3.1
105,1200092,200,8,30-end,-1.0
106,1200092,200,8,0-10,-1.6
107,1200092,200,9,10-20,-0.6
108,1200092,200,9,20-30,0.8
109,1200092,200,9,30-end,-1.65
110,1200092,200,9,0-10,0.05
111,1200092,200,10,10-20,-0.6
112,1200092,200,10,20-30,0.8
113,1200092,200,10,30-end,-1.65
114,1200092,200,10,0-10,0.05
115,1190126,100,1,10-20,1.6
116,1190126,100,1,20-30,-1.0
117,1190126,100,1,30-end,-2.4
118,1190126,100,1,0-10,0.3
119,1190126,100,2,10-20,0.1
120,1190126,100,2,20-30,-1.0
121,1190126,100,2,30-end,-1.11022302462516e-16
122,1190126,100,2,0-10,0.3
123,1190126,100,3,10-20,1.0
124,1190126,100,3,20-30,1.3
125,1190126,100,3,30-end,-8.88178419700125e-16
126,1190126,100,3,0-10,-0.7
127,1190126,100,4,10-20,-0.299999999999999
128,1190126,100,4,20-30,-0.5
129,1190126,100,4,30-end,-0.45
130,1190126,100,4,0-10,0.149999999999999
131,1190126,100,5,10-20,-0.299999999999999
132,1190126,100,5,20-30,-0.5
133,1190126,100,5,30-end,-0.45
134,1190126,100,5,0-10,0.149999999999999
135,1190126,200,6,10-20,-1.6
136,1190126,200,6,20-30,1.0
137,1190126,200,6,30-end,2.4
138,1190126,200,6,0-10,-0.3
139,1190126,200,7,10-20,-0.1
140,1190126,200,7,20-30,1.0
141,1190126,200,7,30-end,1.11022302462516e-16
142,1190126,200,7,0-10,-0.3
143,1190126,200,8,10-20,-1.0
144,1190126,200,8,20-30,-1.3
145,1190126,200,8,30-end,8.88178419700125e-16
146,1190126,200,8,0-10,0.7
147,1190126,200,9,10-20,0.299999999999999
148,1190126,200,9,20-30,0.5
149,1190126,200,9,30-end,0.45
150,1190126,200,9,0-10,-0.149999999999999
151,1190126,200,10,10-20,0.299999999999999
152,1190126,200,10,20-30,0.5
153,1190126,200,10,30-end,0.45
154,1190126,200,10,0-10,-0.149999999999999
155,1190127,100,1,10-20,0.700000000000001
156,1190127,100,1,20-30,-0.1
157,1190127,100,1,30-end,-0.133333333333334
158,1190127,100,1,0-10,-2.8
159,1190127,100,2,10-20,0.6
160,1190127,100,2,20-30,1.1
161,1190127,100,2,30-end,2.6
162,1190127,100,2,0-10,0.2
163,1190127,100,3,10-20,-0.9
164,1190127,100,3,20-30,-0.8
165,1190127,100,3,30-end,-0.333333333333333
166,1190127,100,3,0-10,-2.2
167,1190127,100,4,10-20,-0.85
168,1190127,100,4,20-30,0.9
169,1190127,100,4,30-end,-0.7
170,1190127,100,4,0-10,0.65
171,1190127,100,5,10-20,-0.85
172,1190127,100,5,20-30,0.9
173,1190127,100,5,30-end,-0.7
174,1190127,100,5,0-10,0.65
175,1190127,200,6,10-20,-0.700000000000001
176,1190127,200,6,20-30,0.1
177,1190127,200,6,30-end,0.133333333333334
178,1190127,200,6,0-10,2.8
179,1190127,200,7,10-20,-0.6
180,1190127,200,7,20-30,-1.1
181,1190127,200,7,30-end,-2.6
182,1190127,200,7,0-10,-0.2
183,1190127,200,8,10-20,0.9
184,1190127,200,8,20-30,0.8
185,1190127,200,8,30-end,0.333333333333333
186,1190127,200,8,0-10,2.2
187,1190127,200,9,10-20,0.85
188,1190127,200,9,20-30,-0.9
189,1190127,200,9,30-end,0.7
190,1190127,200,9,0-10,-0.65
191,1190127,200,10,10-20,0.85
192,1190127,200,10,20-30,-0.9
193,1190127,200,10,30-end,0.7
194,1190127,200,10,0-10,-0.65
195,1200148,100,1,10-20,0.0250000000000004
196,1200148,100,1,20-30,-1.2
197,1200148,100,1,30-end,1.1
198,1200148,100,1,0-10,-0.4
199,1200148,100,2,10-20,0.0250000000000004
200,1200148,100,2,20-30,-1.2
201,1200148,100,2,30-end,1.1
202,1200148,100,2,0-10,-0.4
203,1200148,100,3,10-20,0.899999999999999
204,1200148,100,3,20-30,-8.88178419700125e-16
205,1200148,100,3,30-end,5.1
206,1200148,100,3,0-10,1.8
207,1200148,100,4,10-20,0.0250000000000004
208,1200148,100,4,20-30,-1.2
209,1200148,100,4,30-end,1.1
210,1200148,100,4,0-10,-0.4
211,1200148,100,5,10-20,0.0250000000000004
212,1200148,100,5,20-30,-1.2
213,1200148,100,5,30-end,1.1
214,1200148,100,5,0-10,-0.4
215,1200148,200,6,10-20,-0.0250000000000004
216,1200148,200,6,20-30,1.2
217,1200148,200,6,30-end,-1.1
218,1200148,200,6,0-10,0.4
219,1200148,200,7,10-20,-0.0250000000000004
220,1200148,200,7,20-30,1.2
221,1200148,200,7,30-end,-1.1
222,1200148,200,7,0-10,0.4
223,1200148,200,8,10-20,-0.899999999999999
224,1200148,200,8,20-30,8.88178419700125e-16
225,1200148,200,8,30-end,-5.1
226,1200148,200,8,0-10,-1.8
227,1200148,200,9,10-20,-0.0250000000000004
228,1200148,200,9,20-30,1.2
229,1200148,200,9,30-end,-1.1
230,1200148,200,9,0-10,0.4
231,1200148,200,10,10-20,-0.0250000000000004
232,1200148,200,10,20-30,1.2
233,1200148,200,10,30-end,-1.1
234,1200148,200,10,0-10,0.4
235,1190142,100,1,10-20,-0.6
236,1190142,100,1,0-10,-1.05
237,1190142,100,2,10-20,-0.6
238,1190142,100,2,0-10,-1.05
239,1190142,100,3,10-20,-2.1
240,1190142,100,3,0-10,-2.2
241,1190142,100,4,10-20,-0.6
242,1190142,100,4,0-10,-1.05
243,1190142,100,5,10-20,-0.6
244,1190142,100,5,0-10,-1.05
245,1190142,200,6,10-20,0.6
246,1190142,200,6,0-10,1.05
247,1190142,200,7,10-20,0.6
248,1190142,200,7,0-10,1.05
249,1190142,200,8,10-20,2.1
250,1190142,200,8,0-10,2.2
251,1190142,200,9,10-20,0.6
252,1190142,200,9,0-10,1.05
253,1190142,200,10,10-20,0.6
254,1190142,200,10,0-10,1.05
255,1210045,100,3,10-20,-0.6
256,1210045,100,3,20-30,0.3
257,1210045,100,3,30-end,-0.299999999999999
258,1210045,100,3,0-10,-0.100000000000001
259,1210045,100,4,10-20,-0.15
260,1210045,100,4,20-30,-0.9
261,1210045,100,4,30-end,-0.0999999999999996
262,1210045,100,4,0-10,-1.65
263,1210045,100,5,10-20,-0.15
264,1210045,100,5,20-30,-0.9
265,1210045,100,5,30-end,-0.0999999999999996
266,1210045,100,5,0-10,-1.65
267,1210045,200,8,10-20,0.6
268,1210045,200,8,20-30,-0.3
269,1210045,200,8,30-end,0.299999999999999
270,1210045,200,8,0-10,0.100000000000001
271,1210045,200,9,10-20,0.15
272,1210045,200,9,20-30,0.9
273,1210045,200,9,30-end,0.0999999999999996
274,1210045,200,9,0-10,1.65
275,1210045,200,10,10-20,0.15
276,1210045,200,10,20-30,0.9
277,1210045,200,10,30-end,0.0999999999999996
278,1210045,200,10,0-10,1.65
279,1220034,100,3,10-20,1.7
280,1220034,100,3,20-30,0.4
281,1220034,100,3,30-end,1.4
282,1220034,100,3,0-10,0.4
283,1220034,100,4,10-20,0.75
284,1220034,100,4,20-30,0.2
285,1220034,100,4,30-end,0.5
286,1220034,100,4,0-10,0.6
287,1220034,100,5,10-20,0.75
288,1220034,100,5,20-30,0.2
289,1220034,100,5,30-end,0.5
290,1220034,100,5,0-10,0.6
291,1220034,200,8,10-20,-1.7
292,1220034,200,8,20-30,-0.4
293,1220034,200,8,30-end,-1.4
294,1220034,200,8,0-10,-0.4
295,1220034,200,9,10-20,-0.75
296,1220034,200,9,20-30,-0.2
297,1220034,200,9,30-end,-0.5
298,1220034,200,9,0-10,-0.6
299,1220034,200,10,10-20,-0.75
300,1220034,200,10,20-30,-0.2
301,1220034,200,10,30-end,-0.5
302,1220034,200,10,0-10,-0.6
303,1220047,100,3,10-20,-1.6
304,1220047,100,3,20-30,-0.6
305,1220047,100,3,30-end,-2.26666666666667
306,1220047,100,3,0-10,1.5
307,1220047,200,8,10-20,1.6
308,1220047,200,8,20-30,0.6
309,1220047,200,8,30-end,2.26666666666667
310,1220047,200,8,0-10,-1.5
311,1210072,100,1,10-20,-0.7
312,1210072,100,1,20-30,5.1
313,1210072,100,1,0-10,-0.9
314,1210072,100,2,10-20,0.1
315,1210072,100,2,20-30,-0.1
316,1210072,100,2,0-10,-0.1
317,1210072,100,3,10-20,0.899999999999999
318,1210072,100,3,20-30,-2.7
319,1210072,100,3,0-10,-1.5
320,1210072,100,4,10-20,-1.0
321,1210072,100,4,20-30,-0.85
322,1210072,100,4,0-10,0.4
323,1210072,100,5,10-20,-1.0
324,1210072,100,5,20-30,-0.85
325,1210072,100,5,0-10,0.4
326,1210072,200,6,10-20,0.7
327,1210072,200,6,20-30,-5.1
328,1210072,200,6,0-10,0.9
329,1210072,200,7,10-20,-0.1
330,1210072,200,7,20-30,0.1
331,1210072,200,7,0-10,0.1
332,1210072,200,8,10-20,-0.899999999999999
333,1210072,200,8,20-30,2.7
334,1210072,200,8,0-10,1.5
335,1210072,200,9,10-20,1.0
336,1210072,200,9,20-30,0.85
337,1210072,200,9,0-10,-0.4
338,1210072,200,10,10-20,1.0
339,1210072,200,10,20-30,0.85
340,1210072,200,10,0-10,-0.4
341,1220089,100,1,10-20,0.899999999999999
342,1220089,100,1,20-30,-0.0999999999999996
343,1220089,100,1,0-10,0.9
344,1220089,100,2,10-20,-0.5
345,1220089,100,2,20-30,-0.5
346,1220089,100,2,0-10,0.0
347,1220089,100,3,10-20,-2.3
348,1220089,100,3,20-30,-1.9
349,1220089,100,3,0-10,2.4
350,1220089,100,4,10-20,-0.7
351,1220089,100,4,20-30,0.4
352,1220089,100,4,0-10,-0.5
353,1220089,100,5,10-20,-0.7
354,1220089,100,5,20-30,0.4
355,1220089,100,5,0-10,-0.5
356,1220089,200,6,10-20,-0.899999999999999
357,1220089,200,6,20-30,0.0999999999999996
358,1220089,200,6,0-10,-0.9
359,1220089,200,7,10-20,0.5
360,1220089,200,7,20-30,0.5
361,1220089,200,7,0-10,0.0
362,1220089,200,8,10-20,2.3
363,1220089,200,8,20-30,1.9
364,1220089,200,8,0-10,-2.4
365,1220089,200,9,10-20,0.7
366,1220089,200,9,20-30,-0.4
367,1220089,200,9,0-10,0.5
368,1220089,200,10,10-20,0.7
369,1220089,200,10,20-30,-0.4
370,1220089,200,10,0-10,0.5
371,1220090,100,1,10-20,-2.3
372,1220090,100,1,20-30,1.8
373,1220090,100,1,30-end,-4.2
374,1220090,100,1,0-10,3.0
375,1220090,100,2,10-20,-0.5
376,1220090,100,2,20-30,0.2
377,1220090,100,2,30-end,1.25
378,1220090,100,2,0-10,1.2
379,1220090,100,3,10-20,0.5
380,1220090,100,3,20-30,-1.7
381,1220090,100,3,30-end,0.1
382,1220090,100,3,0-10,-0.2
383,1220090,100,4,10-20,1.55
384,1220090,100,4,20-30,1.2
385,1220090,100,4,30-end,0.475
386,1220090,100,4,0-10,-0.15
387,1220090,100,5,10-20,1.55
388,1220090,100,5,20-30,1.2
389,1220090,100,5,30-end,0.475
390,1220090,100,5,0-10,-0.15
391,1220090,200,6,10-20,2.3
392,1220090,200,6,20-30,-1.8
393,1220090,200,6,30-end,4.2
394,1220090,200,6,0-10,-3.0
395,1220090,200,7,10-20,0.5
396,1220090,200,7,20-30,-0.2
397,1220090,200,7,30-end,-1.25
398,1220090,200,7,0-10,-1.2
399,1220090,200,8,10-20,-0.5
400,1220090,200,8,20-30,1.7
401,1220090,200,8,30-end,-0.1
402,1220090,200,8,0-10,0.2
403,1220090,200,9,10-20,-1.55
404,1220090,200,9,20-30,-1.2
405,1220090,200,9,30-end,-0.475
406,1220090,200,9,0-10,0.15
407,1220090,200,10,10-20,-1.55
408,1220090,200,10,20-30,-1.2
409,1220090,200,10,30-end,-0.475
410,1220090,200,10,0-10,0.15
411,1220099,100,1,10-20,0.7
412,1220099,100,1,20-30,-0.566666666666667
413,1220099,100,1,30-end,0.511111111111111
414,1220099,100,1,0-10,-0.833333333333333
415,1220099,100,2,10-20,0.7
416,1220099,100,2,20-30,-0.566666666666667
417,1220099,100,2,30-end,0.511111111111111
418,1220099,100,2,0-10,-0.833333333333333
419,1220099,100,3,10-20,-0.3
420,1220099,100,3,20-30,2.3
421,1220099,100,3,30-end,0.133333333333333
422,1220099,100,3,0-10,-0.4
423,1220099,100,5,10-20,0.7
424,1220099,100,5,20-30,-0.566666666666667
425,1220099,100,5,30-end,0.511111111111111
426,1220099,100,5,0-10,-0.833333333333333
427,1220099,200,7,10-20,-0.7
428,1220099,200,7,20-30,0.566666666666667
429,1220099,200,7,30-end,-0.511111111111111
430,1220099,200,7,0-10,0.833333333333333
431,1220099,200,8,10-20,0.3
432,1220099,200,8,20-30,-2.3
433,1220099,200,8,30-end,-0.133333333333333
434,1220099,200,8,0-10,0.4
435,1220099,200,9,10-20,-0.7
436,1220099,200,9,20-30,0.566666666666667
437,1220099,200,9,30-end,-0.511111111111111
438,1220099,200,9,0-10,0.833333333333333
439,1220099,200,10,10-20,-0.7
440,1220099,200,10,20-30,0.566666666666667
441,1220099,200,10,30-end,-0.511111111111111
442,1220099,200,10,0-10,0.833333333333333
443,1210124,100,1,10-20,-3.1
444,1210124,100,1,20-30,-0.100000000000001
445,1210124,100,1,30-end,-0.76
446,1210124,100,1,0-10,-4.2
447,1210124,100,3,10-20,0.100000000000001
448,1210124,100,3,20-30,-1.8
449,1210124,100,3,30-end,-1.16
450,1210124,100,3,0-10,-0.8
451,1210124,200,8,10-20,-0.100000000000001
452,1210124,200,8,20-30,1.8
453,1210124,200,8,30-end,1.16
454,1210124,200,8,0-10,0.8
455,1210124,200,9,10-20,3.1
456,1210124,200,9,20-30,0.100000000000001
457,1210124,200,9,30-end,0.76
458,1210124,200,9,0-10,4.2
459,1210269,100,1,10-20,0.5
460,1210269,100,1,20-30,-1.3
461,1210269,100,1,0-10,1.1
462,1210269,100,2,10-20,0.3
463,1210269,100,2,20-30,-0.4
464,1210269,100,2,0-10,-0.1
465,1210269,100,3,10-20,1.6
466,1210269,100,3,20-30,-0.100000000000001
467,1210269,100,3,0-10,-0.5
468,1210269,100,4,10-20,-0.999999999999999
