id,gameId,teamId,participantId,timeline,data
1,1200071,100,1,10-20,530.3
2,1200071,100,1,20-30,513.0
3,1200071,100,1,0-10,299.2
4,1200071,100,2,10-20,432.4
5,1200071,100,2,20-30,741.3
6,1200071,100,2,0-10,514.4
7,1200071,100,3,10-20,335.1
8,1200071,100,3,20-30,448.5
9,1200071,100,3,0-10,218.0
10,1200071,100,4,10-20,318.4
11,1200071,100,4,20-30,447.2
12,1200071,100,4,0-10,203.6
13,1200071,100,5,10-20,511.5
14,1200071,100,5,20-30,473.6
15,1200071,100,5,0-10,240.6
16,1200071,200,6,10-20,602.7
17,1200071,200,6,20-30,786.6
18,1200071,200,6,0-10,339.8
19,1200071,200,7,10-20,558.5
20,1200071,200,7,20-30,622.3
21,1200071,200,7,0-10,494.4
22,1200071,200,8,10-20,538.0
23,1200071,200,8,20-30,600.3
24,1200071,200,8,0-10,417.0
25,1200071,200,9,10-20,381.7
26,1200071,200,9,20-30,646.9
27,1200071,200,9,0-10,232.0
28,1200071,200,10,10-20,567.1
29,1200071,200,10,20-30,675.8
30,1200071,200,10,0-10,172.8
31,1200074,100,1,10-20,396.6
32,1200074,100,1,0-10,231.3
33,1200074,100,2,10-20,842.5
34,1200074,100,2,0-10,505.8
35,1200074,100,3,10-20,298.6
36,1200074,100,3,0-10,212.3
37,1200074,100,4,10-20,227.9
38,1200074,100,4,0-10,271.4
39,1200074,100,5,10-20,253.2
40,1200074,100,5,0-10,274.0
41,1200074,200,6,10-20,546.9
42,1200074,200,6,0-10,248.4
43,1200074,200,7,10-20,666.6
44,1200074,200,7,0-10,521.5
45,1200074,200,8,10-20,316.2
46,1200074,200,8,0-10,199.0
47,1200074,200,9,10-20,100.9
48,1200074,200,9,0-10,209.4
49,1200074,200,10,10-20,192.7
50,1200074,200,10,0-10,315.4
51,1190108,100,1,10-20,459.2
52,1190108,100,1,20-30,1270.1
53,1190108,100,1,30-end,1930.425
54,1190108,100,1,0-10,363.3
55,1190108,100,2,10-20,387.3
56,1190108,100,2,20-30,966.9
57,1190108,100,2,30-end,1272.875
58,1190108,100,2,0-10,579.2
59,1190108,100,3,10-20,368.1
60,1190108,100,3,20-30,582.5
61,1190108,100,3,30-end,348.625
62,1190108,100,3,0-10,215.7
63,1190108,100,4,10-20,355.3
64,1190108,100,4,20-30,266.4
65,1190108,100,4,30-end,419.225
66,1190108,100,4,0-10,234.9
67,1190108,100,5,10-20,485.1
68,1190108,100,5,20-30,478.0
69,1190108,100,5,30-end,775.8
70,1190108,100,5,0-10,326.7
71,1190108,200,6,10-20,538.9
72,1190108,200,6,20-30,867.5
73,1190108,200,6,30-end,955.325
74,1190108,200,6,0-10,226.0
75,1190108,200,7,10-20,471.5
76,1190108,200,7,20-30,1034.6
77,1190108,200,7,30-end,956.6
78,1190108,200,7,0-10,327.2
79,1190108,200,8,10-20,395.8
80,1190108,200,8,20-30,439.7
81,1190108,200,8,30-end,657.25
82,1190108,200,8,0-10,179.2
83,1190108,200,9,10-20,131.9
84,1190108,200,9,20-30,274.3
85,1190108,200,9,30-end,466.825
86,1190108,200,9,0-10,211.6
87,1190108,200,10,10-20,524.0
88,1190108,200,10,20-30,782.9
89,1190108,200,10,30-end,1109.25
90,1190108,200,10,0-10,304.9
91,1200092,100,1,10-20,523.7
92,1200092,100,1,20-30,802.0
93,1200092,100,1,30-end,1345.0
94,1200092,100,1,0-10,264.2
95,1200092,100,2,10-20,796.9
96,1200092,100,2,20-30,1395.6
97,1200092,100,2,30-end,1876.2
98,1200092,100,2,0-10,441.1
99,1200092,100,3,10-20,382.6
100,1200092,100,3,20-30,339.6
101,1200092,100,3,30-end,745.2
102,1200092,100,3,0-10,151.3
103,1200092,100,4,10-20,199.4
104,1200092,100,4,20-30,503.9
105,1200092,100,4,30-end,752.4
106,1200092,100,4,0-10,201.8
107,1200092,100,5,10-20,571.5
108,1200092,100,5,20-30,673.7
109,1200092,100,5,30-end,1060.4
110,1200092,100,5,0-10,268.5
111,1200092,200,6,10-20,543.3
112,1200092,200,6,20-30,910.5
113,1200092,200,6,30-end,1515.3
114,1200092,200,6,0-10,240.5
115,1200092,200,7,10-20,702.5
116,1200092,200,7,20-30,638.6
117,1200092,200,7,30-end,1204.0
118,1200092,200,7,0-10,205.2
119,1200092,200,8,10-20,473.9
120,1200092,200,8,20-30,614.2
121,1200092,200,8,30-end,944.6
122,1200092,200,8,0-10,271.5
123,1200092,200,9,10-20,333.5
124,1200092,200,9,20-30,620.4
125,1200092,200,9,30-end,689.3
126,1200092,200,9,0-10,263.0
127,1200092,200,10,10-20,588.3
128,1200092,200,10,20-30,930.1
129,1200092,200,10,30-end,1684.4
130,1200092,200,10,0-10,180.8
131,1190126,100,1,10-20,605.6
132,1190126,100,1,20-30,1030.9
133,1190126,100,1,30-end,1285.5
134,1190126,100,1,0-10,177.2
135,1190126,100,2,10-20,803.0
136,1190126,100,2,20-30,1215.2
137,1190126,100,2,30-end,1470.9
138,1190126,100,2,0-10,454.4
139,1190126,100,3,10-20,350.7
140,1190126,100,3,20-30,658.9
141,1190126,100,3,30-end,922.1
142,1190126,100,3,0-10,343.8
143,1190126,100,4,10-20,427.6
144,1190126,100,4,20-30,665.4
145,1190126,100,4,30-end,818.8
146,1190126,100,4,0-10,244.4
147,1190126,100,5,10-20,506.6
148,1190126,100,5,20-30,669.7
149,1190126,100,5,30-end,1386.1
150,1190126,100,5,0-10,177.9
151,1190126,200,6,10-20,483.1
152,1190126,200,6,20-30,1403.7
153,1190126,200,6,30-end,1045.9
154,1190126,200,6,0-10,171.5
155,1190126,200,7,10-20,528.2
156,1190126,200,7,20-30,372.5
157,1190126,200,7,30-end,1193.9
158,1190126,200,7,0-10,301.6
159,1190126,200,8,10-20,347.4
160,1190126,200,8,20-30,601.1
161,1190126,200,8,30-end,895.3
162,1190126,200,8,0-10,197.6
163,1190126,200,9,10-20,222.7
164,1190126,200,9,20-30,480.5
165,1190126,200,9,30-end,566.5
166,1190126,200,9,0-10,158.6
167,1190126,200,10,10-20,580.7
168,1190126,200,10,20-30,810.2
169,1190126,200,10,30-end,792.2
170,1190126,200,10,0-10,229.6
171,1190127,100,1,10-20,570.8
172,1190127,100,1,20-30,989.8
173,1190127,100,1,30-end,1016.86666666667
174,1190127,100,1,0-10,183.7
175,1190127,100,2,10-20,673.2
176,1190127,100,2,20-30,1475.6
177,1190127,100,2,30-end,1170.0
178,1190127,100,2,0-10,618.2
179,1190127,100,3,10-20,449.6
180,1190127,100,3,20-30,669.1
181,1190127,100,3,30-end,663.0
182,1190127,100,3,0-10,255.7
183,1190127,100,4,10-20,555.1
184,1190127,100,4,20-30,654.1
185,1190127,100,4,30-end,248.0
186,1190127,100,4,0-10,103.0
187,1190127,100,5,10-20,209.1
188,1190127,100,5,20-30,827.3
189,1190127,100,5,30-end,156.266666666667
190,1190127,100,5,0-10,66.4
191,1190127,200,6,10-20,844.7
192,1190127,200,6,20-30,1448.1
193,1190127,200,6,30-end,1099.33333333333
194,1190127,200,6,0-10,308.0
195,1190127,200,7,10-20,628.3
196,1190127,200,7,20-30,809.0
197,1190127,200,7,30-end,633.4
198,1190127,200,7,0-10,391.0
199,1190127,200,8,10-20,327.8
200,1190127,200,8,20-30,745.6
201,1190127,200,8,30-end,366.733333333333
202,1190127,200,8,0-10,218.4
203,1190127,200,9,10-20,294.3
204,1190127,200,9,20-30,561.4
205,1190127,200,9,30-end,317.4
206,1190127,200,9,0-10,304.1
207,1190127,200,10,10-20,804.1
208,1190127,200,10,20-30,778.1
209,1190127,200,10,30-end,876.4
210,1190127,200,10,0-10,511.4
211,1200148,100,1,10-20,218.2
212,1200148,100,1,20-30,104.2
213,1200148,100,1,30-end,355.1
214,1200148,100,1,0-10,86.6
215,1200148,100,2,10-20,555.9
216,1200148,100,2,20-30,421.0
217,1200148,100,2,30-end,788.5
218,1200148,100,2,0-10,406.2
219,1200148,100,3,10-20,50.5
220,1200148,100,3,20-30,166.3
221,1200148,100,3,30-end,395.8
222,1200148,100,3,0-10,78.9
223,1200148,100,4,10-20,92.4
224,1200148,100,4,20-30,334.4
225,1200148,100,4,30-end,390.2
226,1200148,100,4,0-10,47.6
227,1200148,100,5,10-20,128.3
228,1200148,100,5,20-30,340.9
229,1200148,100,5,30-end,637.8
230,1200148,100,5,0-10,197.0
231,1200148,200,6,10-20,163.3
232,1200148,200,6,20-30,252.9
233,1200148,200,6,30-end,820.2
234,1200148,200,6,0-10,55.8
235,1200148,200,7,10-20,433.2
236,1200148,200,7,20-30,444.4
237,1200148,200,7,30-end,1057.9
238,1200148,200,7,0-10,368.9
239,1200148,200,8,10-20,108.1
240,1200148,200,8,20-30,160.5
241,1200148,200,8,30-end,430.7
242,1200148,200,8,0-10,258.2
243,1200148,200,9,10-20,170.5
244,1200148,200,9,20-30,233.1
245,1200148,200,9,30-end,218.6
246,1200148,200,9,0-10,89.3
247,1200148,200,10,10-20,33.7
248,1200148,200,10,20-30,80.2
249,1200148,200,10,30-end,436.7
250,1200148,200,10,0-10,30.5
251,1190142,100,1,10-20,717.5
252,1190142,100,1,0-10,333.7
253,1190142,100,2,10-20,746.0
254,1190142,100,2,0-10,460.7
255,1190142,100,3,10-20,544.7
256,1190142,100,3,0-10,261.7
257,1190142,100,4,10-20,406.1
258,1190142,100,4,0-10,251.9
259,1190142,100,5,10-20,425.9
260,1190142,100,5,0-10,244.4
261,1190142,200,6,10-20,545.1
262,1190142,200,6,0-10,131.0
263,1190142,200,7,10-20,1079.7
264,1190142,200,7,0-10,455.9
265,1190142,200,8,10-20,411.4
266,1190142,200,8,0-10,176.4
267,1190142,200,9,10-20,410.9
268,1190142,200,9,0-10,73.2
269,1190142,200,10,10-20,385.2
270,1190142,200,10,0-10,229.0
271,1210045,100,1,10-20,352.8
272,1210045,100,1,20-30,683.7
273,1210045,100,1,30-end,1108.3
274,1210045,100,1,0-10,284.9
275,1210045,100,2,10-20,403.1
276,1210045,100,2,20-30,463.1
277,1210045,100,2,30-end,976.7
278,1210045,100,2,0-10,355.1
279,1210045,100,3,10-20,174.6
280,1210045,100,3,20-30,251.6
281,1210045,100,3,30-end,433.2
282,1210045,100,3,0-10,314.4
283,1210045,100,4,10-20,235.6
284,1210045,100,4,20-30,375.8
285,1210045,100,4,30-end,459.7
286,1210045,100,4,0-10,263.7
287,1210045,100,5,10-20,316.7
288,1210045,100,5,20-30,311.4
289,1210045,100,5,30-end,623.9
290,1210045,100,5,0-10,204.8
291,1210045,200,6,10-20,166.4
292,1210045,200,6,20-30,313.5
293,1210045,200,6,30-end,463.0
294,1210045,200,6,0-10,146.1
295,1210045,200,7,10-20,581.1
296,1210045,200,7,20-30,679.3
297,1210045,200,7,30-end,875.2
298,1210045,200,7,0-10,581.7
299,1210045,200,8,10-20,284.3
300,1210045,200,8,20-30,530.0
301,1210045,200,8,30-end,328.9
302,1210045,200,8,0-10,257.3
