id,gameId,teamId,participantId,timeline,data
1,1200071,100,1,10-20,328.1
2,1200071,100,1,20-30,441.6
3,1200071,100,1,0-10,248.4
4,1200071,100,2,10-20,256.7
5,1200071,100,2,20-30,287.7
6,1200071,100,2,0-10,256.7
7,1200071,100,3,10-20,441.6
8,1200071,100,3,20-30,420.5
9,1200071,100,3,0-10,309.5
10,1200071,100,4,10-20,388.3
11,1200071,100,4,20-30,474.4
12,1200071,100,4,0-10,264.2
13,1200071,100,5,10-20,227.2
14,1200071,100,5,20-30,252.4
15,1200071,100,5,0-10,156.4
16,1200071,200,6,10-20,374.4
17,1200071,200,6,20-30,357.2
18,1200071,200,6,0-10,297.7
19,1200071,200,7,10-20,305.5
20,1200071,200,7,20-30,360.1
21,1200071,200,7,0-10,211.9
22,1200071,200,8,10-20,411.9
23,1200071,200,8,20-30,497.6
24,1200071,200,8,0-10,220.3
25,1200071,200,9,10-20,445.0
26,1200071,200,9,20-30,458.2
27,1200071,200,9,0-10,236.0
28,1200071,200,10,10-20,272.7
29,1200071,200,10,20-30,294.2
30,1200071,200,10,0-10,146.5
31,1200074,100,1,10-20,309.9
32,1200074,100,1,0-10,208.5
33,1200074,100,2,10-20,311.4
34,1200074,100,2,0-10,202.0
35,1200074,100,3,10-20,368.3
36,1200074,100,3,0-10,274.7
37,1200074,100,4,10-20,441.1
38,1200074,100,4,0-10,325.4
39,1200074,100,5,10-20,250.3
40,1200074,100,5,0-10,170.8
41,1200074,200,6,10-20,365.9
42,1200074,200,6,0-10,235.2
43,1200074,200,7,10-20,304.4
44,1200074,200,7,0-10,243.2
45,1200074,200,8,10-20,442.4
46,1200074,200,8,0-10,268.6
47,1200074,200,9,10-20,321.3
48,1200074,200,9,0-10,235.9
49,1200074,200,10,10-20,203.4
50,1200074,200,10,0-10,133.3
51,1190108,100,1,10-20,399.2
52,1190108,100,1,20-30,330.9
53,1190108,100,1,30-end,312.175
54,1190108,100,1,0-10,235.9
55,1190108,100,2,10-20,266.1
56,1190108,100,2,20-30,317.2
57,1190108,100,2,30-end,301.4
58,1190108,100,2,0-10,226.4
59,1190108,100,3,10-20,379.0
60,1190108,100,3,20-30,386.5
61,1190108,100,3,30-end,400.575
62,1190108,100,3,0-10,335.7
63,1190108,100,4,10-20,326.8
64,1190108,100,4,20-30,365.1
65,1190108,100,4,30-end,420.0
66,1190108,100,4,0-10,282.7
67,1190108,100,5,10-20,215.2
68,1190108,100,5,20-30,265.8
69,1190108,100,5,30-end,297.35
70,1190108,100,5,0-10,167.2
71,1190108,200,6,10-20,405.9
72,1190108,200,6,20-30,528.0
73,1190108,200,6,30-end,377.075
74,1190108,200,6,0-10,312.2
75,1190108,200,7,10-20,343.8
76,1190108,200,7,20-30,348.8
77,1190108,200,7,30-end,280.7
78,1190108,200,7,0-10,261.0
79,1190108,200,8,10-20,322.8
80,1190108,200,8,20-30,398.6
81,1190108,200,8,30-end,401.625
82,1190108,200,8,0-10,303.0
83,1190108,200,9,10-20,354.1
84,1190108,200,9,20-30,360.1
85,1190108,200,9,30-end,418.65
86,1190108,200,9,0-10,278.5
87,1190108,200,10,10-20,256.4
88,1190108,200,10,20-30,244.5
89,1190108,200,10,30-end,249.125
90,1190108,200,10,0-10,160.8
91,1200092,100,1,10-20,376.8
92,1200092,100,1,20-30,520.6
93,1200092,100,1,30-end,574.0
94,1200092,100,1,0-10,230.7
95,1200092,100,2,10-20,319.1
96,1200092,100,2,20-30,396.5
97,1200092,100,2,30-end,374.4
98,1200092,100,2,0-10,192.6
99,1200092,100,3,10-20,440.9
100,1200092,100,3,20-30,501.2
101,1200092,100,3,30-end,475.5
102,1200092,100,3,0-10,309.4
103,1200092,100,4,10-20,394.5
104,1200092,100,4,20-30,432.3
105,1200092,100,4,30-end,471.2
106,1200092,100,4,0-10,263.0
107,1200092,100,5,10-20,261.7
108,1200092,100,5,20-30,316.5
109,1200092,100,5,30-end,378.2
110,1200092,100,5,0-10,147.6
111,1200092,200,6,10-20,413.4
112,1200092,200,6,20-30,342.2
113,1200092,200,6,30-end,323.4
114,1200092,200,6,0-10,292.1
115,1200092,200,7,10-20,409.5
116,1200092,200,7,20-30,335.2
117,1200092,200,7,30-end,339.6
118,1200092,200,7,0-10,249.5
119,1200092,200,8,10-20,422.1
120,1200092,200,8,20-30,452.9
121,1200092,200,8,30-end,362.8
122,1200092,200,8,0-10,277.5
123,1200092,200,9,10-20,428.6
124,1200092,200,9,20-30,529.4
125,1200092,200,9,30-end,368.3
126,1200092,200,9,0-10,267.7
127,1200092,200,10,10-20,323.6
128,1200092,200,10,20-30,265.3
129,1200092,200,10,30-end,244.5
130,1200092,200,10,0-10,152.1
131,1190126,100,1,10-20,464.1
132,1190126,100,1,20-30,320.6
133,1190126,100,1,30-end,327.3
134,1190126,100,1,0-10,246.8
135,1190126,100,2,10-20,316.5
136,1190126,100,2,20-30,324.5
137,1190126,100,2,30-end,364.9
138,1190126,100,2,0-10,219.9
139,1190126,100,3,10-20,439.2
140,1190126,100,3,20-30,434.9
141,1190126,100,3,30-end,414.6
142,1190126,100,3,0-10,255.2
143,1190126,100,4,10-20,426.7
144,1190126,100,4,20-30,494.9
145,1190126,100,4,30-end,490.2
146,1190126,100,4,0-10,274.7
147,1190126,100,5,10-20,277.5
148,1190126,100,5,20-30,247.2
149,1190126,100,5,30-end,294.1
150,1190126,100,5,0-10,127.7
151,1190126,200,6,10-20,286.2
152,1190126,200,6,20-30,382.9
153,1190126,200,6,30-end,414.6
154,1190126,200,6,0-10,233.0
155,1190126,200,7,10-20,230.8
156,1190126,200,7,20-30,265.5
157,1190126,200,7,30-end,381.8
158,1190126,200,7,0-10,263.7
159,1190126,200,8,10-20,394.7
160,1190126,200,8,20-30,460.6
161,1190126,200,8,30-end,502.5
162,1190126,200,8,0-10,321.3
163,1190126,200,9,10-20,325.1
164,1190126,200,9,20-30,397.3
165,1190126,200,9,30-end,473.9
166,1190126,200,9,0-10,272.6
167,1190126,200,10,10-20,209.3
168,1190126,200,10,20-30,311.6
169,1190126,200,10,30-end,361.5
170,1190126,200,10,0-10,147.8
171,1190127,100,1,10-20,377.5
172,1190127,100,1,20-30,490.3
173,1190127,100,1,30-end,413.333333333333
174,1190127,100,1,0-10,240.3
175,1190127,100,2,10-20,272.5
176,1190127,100,2,20-30,319.8
177,1190127,100,2,30-end,317.466666666667
178,1190127,100,2,0-10,235.5
179,1190127,100,3,10-20,319.6
180,1190127,100,3,20-30,398.3
181,1190127,100,3,30-end,345.733333333333
182,1190127,100,3,0-10,226.1
183,1190127,100,4,10-20,323.2
184,1190127,100,4,20-30,451.0
185,1190127,100,4,30-end,397.8
186,1190127,100,4,0-10,280.6
187,1190127,100,5,10-20,229.8
188,1190127,100,5,20-30,320.2
189,1190127,100,5,30-end,278.8
190,1190127,100,5,0-10,150.1
191,1190127,200,6,10-20,437.7
192,1190127,200,6,20-30,524.1
193,1190127,200,6,30-end,495.933333333333
194,1190127,200,6,0-10,285.4
195,1190127,200,7,10-20,309.5
196,1190127,200,7,20-30,347.3
197,1190127,200,7,30-end,328.466666666667
198,1190127,200,7,0-10,245.8
199,1190127,200,8,10-20,484.8
200,1190127,200,8,20-30,616.3
201,1190127,200,8,30-end,442.733333333333
202,1190127,200,8,0-10,264.5
203,1190127,200,9,10-20,418.1
204,1190127,200,9,20-30,407.2
205,1190127,200,9,30-end,434.666666666667
206,1190127,200,9,0-10,245.0
207,1190127,200,10,10-20,237.6
208,1190127,200,10,20-30,339.1
209,1190127,200,10,30-end,251.266666666667
210,1190127,200,10,0-10,135.3
211,1200148,100,1,10-20,335.5
212,1200148,100,1,20-30,329.0
213,1200148,100,1,30-end,386.1
214,1200148,100,1,0-10,219.4
215,1200148,100,2,10-20,264.2
216,1200148,100,2,20-30,229.1
217,1200148,100,2,30-end,256.0
218,1200148,100,2,0-10,227.8
219,1200148,100,3,10-20,395.0
220,1200148,100,3,20-30,418.0
221,1200148,100,3,30-end,529.8
222,1200148,100,3,0-10,321.2
223,1200148,100,4,10-20,360.6
224,1200148,100,4,20-30,363.7
225,1200148,100,4,30-end,461.6
226,1200148,100,4,0-10,276.0
227,1200148,100,5,10-20,204.0
