id,gameId,teamId,participantId,timeline,data
1,1200071,100,1,10-20,520.5
2,1200071,100,1,20-30,574.8
3,1200071,100,1,0-10,345.5
4,1200071,100,2,10-20,296.1
5,1200071,100,2,20-30,371.7
6,1200071,100,2,0-10,320.9
7,1200071,100,3,10-20,555.4
8,1200071,100,3,20-30,503.4
9,1200071,100,3,0-10,496.3
10,1200071,100,4,10-20,401.9
11,1200071,100,4,20-30,643.8
12,1200071,100,4,0-10,301.2
13,1200071,100,5,10-20,260.9
14,1200071,100,5,20-30,200.3
15,1200071,100,5,0-10,266.0
16,1200071,200,6,10-20,510.1
17,1200071,200,6,20-30,450.0
18,1200071,200,6,0-10,456.4
19,1200071,200,7,10-20,306.5
20,1200071,200,7,20-30,316.6
21,1200071,200,7,0-10,303.1
22,1200071,200,8,10-20,520.9
23,1200071,200,8,20-30,553.8
24,1200071,200,8,0-10,416.5
25,1200071,200,9,10-20,493.7
26,1200071,200,9,20-30,507.3
27,1200071,200,9,0-10,283.8
28,1200071,200,10,10-20,276.9
29,1200071,200,10,20-30,324.3
30,1200071,200,10,0-10,239.7
31,1200074,100,1,10-20,367.3
32,1200074,100,1,0-10,278.4
33,1200074,100,2,10-20,331.0
34,1200074,100,2,0-10,259.0
35,1200074,100,3,10-20,501.8
36,1200074,100,3,0-10,437.4
37,1200074,100,4,10-20,430.8
38,1200074,100,4,0-10,396.5
39,1200074,100,5,10-20,226.9
40,1200074,100,5,0-10,256.9
41,1200074,200,6,10-20,443.4
42,1200074,200,6,0-10,402.5
43,1200074,200,7,10-20,401.0
44,1200074,200,7,0-10,318.4
45,1200074,200,8,10-20,600.2
46,1200074,200,8,0-10,449.4
47,1200074,200,9,10-20,403.3
48,1200074,200,9,0-10,282.0
49,1200074,200,10,10-20,121.8
50,1200074,200,10,0-10,212.3
51,1190108,100,1,10-20,575.5
52,1190108,100,1,20-30,419.7
53,1190108,100,1,30-end,421.025
54,1190108,100,1,0-10,425.7
55,1190108,100,2,10-20,311.0
56,1190108,100,2,20-30,398.3
57,1190108,100,2,30-end,321.975
58,1190108,100,2,0-10,329.1
59,1190108,100,3,10-20,429.0
60,1190108,100,3,20-30,400.1
61,1190108,100,3,30-end,476.225
62,1190108,100,3,0-10,442.6
63,1190108,100,4,10-20,362.1
64,1190108,100,4,20-30,408.9
65,1190108,100,4,30-end,411.625
66,1190108,100,4,0-10,331.4
67,1190108,100,5,10-20,163.1
68,1190108,100,5,20-30,256.4
69,1190108,100,5,30-end,248.525
70,1190108,100,5,0-10,286.9
71,1190108,200,6,10-20,588.8
72,1190108,200,6,20-30,668.3
73,1190108,200,6,30-end,467.3
74,1190108,200,6,0-10,437.0
75,1190108,200,7,10-20,363.8
76,1190108,200,7,20-30,384.0
77,1190108,200,7,30-end,302.775
78,1190108,200,7,0-10,331.2
79,1190108,200,8,10-20,371.2
80,1190108,200,8,20-30,529.5
81,1190108,200,8,30-end,476.525
82,1190108,200,8,0-10,501.2
83,1190108,200,9,10-20,395.5
84,1190108,200,9,20-30,482.1
85,1190108,200,9,30-end,484.2
86,1190108,200,9,0-10,316.7
87,1190108,200,10,10-20,276.2
88,1190108,200,10,20-30,255.2
89,1190108,200,10,30-end,247.775
90,1190108,200,10,0-10,257.5
91,1200092,100,1,10-20,488.0
92,1200092,100,1,20-30,662.8
93,1200092,100,1,30-end,652.3
94,1200092,100,1,0-10,356.9
95,1200092,100,2,10-20,382.1
96,1200092,100,2,20-30,486.9
97,1200092,100,2,30-end,485.0
98,1200092,100,2,0-10,264.0
99,1200092,100,3,10-20,359.8
100,1200092,100,3,20-30,540.7
101,1200092,100,3,30-end,544.7
102,1200092,100,3,0-10,503.2
103,1200092,100,4,10-20,389.6
104,1200092,100,4,20-30,538.0
105,1200092,100,4,30-end,483.8
106,1200092,100,4,0-10,345.7
107,1200092,100,5,10-20,243.9
108,1200092,100,5,20-30,369.8
109,1200092,100,5,30-end,430.4
110,1200092,100,5,0-10,221.3
111,1200092,200,6,10-20,423.0
112,1200092,200,6,20-30,428.5
113,1200092,200,6,30-end,399.5
114,1200092,200,6,0-10,461.9
115,1200092,200,7,10-20,354.6
116,1200092,200,7,20-30,350.0
117,1200092,200,7,30-end,389.0
118,1200092,200,7,0-10,273.9
119,1200092,200,8,10-20,450.7
120,1200092,200,8,20-30,581.8
121,1200092,200,8,30-end,343.8
122,1200092,200,8,0-10,470.9
123,1200092,200,9,10-20,389.6
124,1200092,200,9,20-30,551.1
125,1200092,200,9,30-end,422.7
126,1200092,200,9,0-10,330.6
127,1200092,200,10,10-20,274.3
128,1200092,200,10,20-30,229.7
129,1200092,200,10,30-end,201.1
130,1200092,200,10,0-10,306.3
131,1190126,100,1,10-20,509.2
132,1190126,100,1,20-30,399.4
133,1190126,100,1,30-end,497.4
134,1190126,100,1,0-10,441.5
135,1190126,100,2,10-20,393.3
136,1190126,100,2,20-30,348.0
137,1190126,100,2,30-end,523.7
138,1190126,100,2,0-10,281.7
139,1190126,100,3,10-20,494.3
140,1190126,100,3,20-30,509.9
141,1190126,100,3,30-end,478.1
142,1190126,100,3,0-10,439.1
143,1190126,100,4,10-20,407.9
144,1190126,100,4,20-30,625.7
145,1190126,100,4,30-end,518.2
146,1190126,100,4,0-10,340.4
147,1190126,100,5,10-20,231.7
148,1190126,100,5,20-30,210.6
149,1190126,100,5,30-end,409.3
150,1190126,100,5,0-10,274.6
151,1190126,200,6,10-20,415.0
152,1190126,200,6,20-30,637.1
153,1190126,200,6,30-end,474.5
154,1190126,200,6,0-10,422.3
155,1190126,200,7,10-20,290.2
156,1190126,200,7,20-30,371.1
157,1190126,200,7,30-end,378.1
158,1190126,200,7,0-10,385.6
159,1190126,200,8,10-20,459.4
160,1190126,200,8,20-30,540.3
161,1190126,200,8,30-end,540.5
162,1190126,200,8,0-10,464.2
163,1190126,200,9,10-20,429.0
164,1190126,200,9,20-30,552.3
165,1190126,200,9,30-end,444.1
166,1190126,200,9,0-10,324.2
167,1190126,200,10,10-20,201.0
168,1190126,200,10,20-30,294.0
169,1190126,200,10,30-end,438.0
170,1190126,200,10,0-10,279.7
171,1190127,100,1,10-20,544.4
172,1190127,100,1,20-30,674.5
173,1190127,100,1,30-end,644.0
174,1190127,100,1,0-10,331.5
175,1190127,100,2,10-20,298.8
176,1190127,100,2,20-30,452.8
177,1190127,100,2,30-end,416.733333333333
178,1190127,100,2,0-10,353.5
179,1190127,100,3,10-20,399.3
180,1190127,100,3,20-30,448.2
181,1190127,100,3,30-end,488.4
182,1190127,100,3,0-10,436.4
183,1190127,100,4,10-20,324.4
184,1190127,100,4,20-30,474.8
185,1190127,100,4,30-end,460.133333333333
186,1190127,100,4,0-10,348.5
187,1190127,100,5,10-20,156.7
188,1190127,100,5,20-30,232.0
189,1190127,100,5,30-end,382.8
190,1190127,100,5,0-10,278.0
191,1190127,200,6,10-20,559.7
192,1190127,200,6,20-30,561.6
193,1190127,200,6,30-end,694.4
194,1190127,200,6,0-10,448.3
195,1190127,200,7,10-20,381.4
196,1190127,200,7,20-30,339.4
197,1190127,200,7,30-end,408.066666666667
198,1190127,200,7,0-10,302.1
199,1190127,200,8,10-20,529.3
200,1190127,200,8,20-30,515.3
201,1190127,200,8,30-end,478.466666666667
202,1190127,200,8,0-10,439.6
203,1190127,200,9,10-20,434.3
204,1190127,200,9,20-30,412.6
205,1190127,200,9,30-end,548.866666666667
206,1190127,200,9,0-10,270.8
207,1190127,200,10,10-20,236.7
208,1190127,200,10,20-30,314.3
209,1190127,200,10,30-end,256.933333333333
210,1190127,200,10,0-10,280.6
211,1200148,100,1,10-20,512.4
212,1200148,100,1,20-30,459.0
213,1200148,100,1,30-end,598.2
214,1200148,100,1,0-10,276.3
215,1200148,100,2,10-20,337.0
216,1200148,100,2,20-30,253.6
217,1200148,100,2,30-end,395.8
218,1200148,100,2,0-10,236.2
219,1200148,100,3,10-20,515.1
220,1200148,100,3,20-30,552.7
221,1200148,100,3,30-end,634.9
222,1200148,100,3,0-10,516.9
223,1200148,100,4,10-20,442.6
224,1200148,100,4,20-30,413.3
225,1200148,100,4,30-end,540.9
226,1200148,100,4,0-10,269.6
227,1200148,100,5,10-20,172.1
228,1200148,100,5,20-30,259.8
229,1200148,100,5,30-end,363.8
230,1200148,100,5,0-10,148.6
231,1200148,200,6,10-20,504.5
232,1200148,200,6,20-30,531.1
233,1200148,200,6,30-end,764.4
234,1200148,200,6,0-10,293.6
235,1200148,200,7,10-20,338.1
236,1200148,200,7,20-30,419.7
237,1200148,200,7,30-end,256.1
238,1200148,200,7,0-10,334.1
239,1200148,200,8,10-20,519.3
240,1200148,200,8,20-30,622.4
241,1200148,200,8,30-end,561.0
242,1200148,200,8,0-10,427.3
243,1200148,200,9,10-20,349.6
244,1200148,200,9,20-30,448.5
245,1200148,200,9,30-end,500.3
246,1200148,200,9,0-10,341.9
247,1200148,200,10,10-20,202.6
248,1200148,200,10,20-30,218.2
249,1200148,200,10,30-end,308.3
250,1200148,200,10,0-10,134.8
251,1190142,100,1,10-20,447.9
252,1190142,100,1,0-10,306.2
253,1190142,100,2,10-20,314.6
254,1190142,100,2,0-10,230.6
255,1190142,100,3,10-20,408.0
256,1190142,100,3,0-10,425.2
257,1190142,100,4,10-20,404.9
258,1190142,100,4,0-10,210.2
259,1190142,100,5,10-20,175.7
260,1190142,100,5,0-10,208.5
261,1190142,200,6,10-20,434.2
262,1190142,200,6,0-10,339.0
263,1190142,200,7,10-20,411.3
264,1190142,200,7,0-10,274.8
265,1190142,200,8,10-20,568.4
266,1190142,200,8,0-10,474.0
267,1190142,200,9,10-20,544.9
268,1190142,200,9,0-10,325.5
269,1190142,200,10,10-20,272.4
270,1190142,200,10,0-10,230.2
271,1210045,100,1,10-20,467.1
272,1210045,100,1,20-30,507.4
273,1210045,100,1,30-end,554.6
274,1210045,100,1,0-10,412.5
275,1210045,100,2,10-20,226.3
276,1210045,100,2,20-30,334.7
277,1210045,100,2,30-end,407.3
278,1210045,100,2,0-10,284.7
279,1210045,100,3,10-20,474.0
280,1210045,100,3,20-30,529.4
281,1210045,100,3,30-end,510.5
282,1210045,100,3,0-10,490.8
283,1210045,100,4,10-20,419.8
284,1210045,100,4,20-30,530.6
285,1210045,100,4,30-end,416.6
286,1210045,100,4,0-10,302.7
287,1210045,100,5,10-20,179.7
288,1210045,100,5,20-30,197.0
289,1210045,100,5,30-end,359.3
290,1210045,100,5,0-10,261.1
291,1210045,200,6,10-20,499.7
292,1210045,200,6,20-30,441.7
293,1210045,200,6,30-end,448.9
294,1210045,200,6,0-10,447.3
295,1210045,200,7,10-20,403.9
296,1210045,200,7,20-30,309.8
297,1210045,200,7,30-end,363.1
298,1210045,200,7,0-10,301.3
299,1210045,200,8,10-20,568.1
300,1210045,200,8,20-30,516.8
301,1210045,200,8,30-end,589.0
302,1210045,200,8,0-10,499.0
303,1210045,200,9,10-20,393.2
304,1210045,200,9,20-30,428.3
305,1210045,200,9,30-end,475.0
306,1210045,200,9,0-10,343.8
307,1210045,200,10,10-20,219.1
308,1210045,200,10,20-30,226.8
309,1210045,200,10,30-end,321.3
310,1210045,200,10,0-10,340.8
311,1220034,100,1,10-20,485.3
312,1220034,100,1,20-30,423.7
313,1220034,100,1,30-end,505.0
314,1220034,100,1,0-10,394.5
315,1220034,100,2,10-20,289.4
316,1220034,100,2,20-30,406.2
317,1220034,100,2,30-end,591.1
318,1220034,100,2,0-10,350.9
319,1220034,100,3,10-20,577.5
320,1220034,100,3,20-30,514.7
321,1220034,100,3,30-end,534.1
322,1220034,100,3,0-10,500.8
323,1220034,100,4,10-20,378.5
324,1220034,100,4,20-30,475.7
325,1220034,100,4,30-end,523.8
326,1220034,100,4,0-10,328.2
327,1220034,100,5,10-20,303.4
328,1220034,100,5,20-30,202.3
329,1220034,100,5,30-end,233.0
330,1220034,100,5,0-10,298.7
331,1220034,200,6,10-20,458.2
332,1220034,200,6,20-30,595.9
333,1220034,200,6,30-end,574.3
334,1220034,200,6,0-10,337.9
335,1220034,200,7,10-20,302.0
336,1220034,200,7,20-30,410.2
337,1220034,200,7,30-end,375.1
338,1220034,200,7,0-10,324.0
339,1220034,200,8,10-20,546.4
340,1220034,200,8,20-30,559.2
341,1220034,200,8,30-end,328.9
342,1220034,200,8,0-10,497.7
343,1220034,200,9,10-20,324.0
344,1220034,200,9,20-30,565.3
345,1220034,200,9,30-end,426.8
346,1220034,200,9,0-10,289.1
347,1220034,200,10,10-20,294.5
348,1220034,200,10,20-30,284.8
349,1220034,200,10,30-end,190.0
350,1220034,200,10,0-10,327.5
351,1220047,100,1,10-20,485.8
352,1220047,100,1,20-30,610.1
353,1220047,100,1,30-end,363.133333333333
354,1220047,100,1,0-10,379.9
355,1220047,100,2,10-20,402.6
356,1220047,100,2,20-30,373.7
357,1220047,100,2,30-end,427.666666666667
358,1220047,100,2,0-10,255.3
359,1220047,100,3,10-20,465.4
360,1220047,100,3,20-30,491.8
361,1220047,100,3,30-end,421.466666666667
362,1220047,100,3,0-10,480.0
363,1220047,100,4,10-20,426.9
364,1220047,100,4,20-30,515.2
365,1220047,100,4,30-end,537.266666666667
366,1220047,100,4,0-10,316.5
367,1220047,100,5,10-20,194.7
368,1220047,100,5,20-30,247.8
369,1220047,100,5,30-end,346.266666666667
370,1220047,100,5,0-10,236.7
371,1220047,200,6,10-20,467.6
372,1220047,200,6,20-30,702.8
373,1220047,200,6,30-end,578.333333333333
374,1220047,200,6,0-10,406.4
375,1220047,200,7,10-20,347.9
376,1220047,200,7,20-30,294.3
377,1220047,200,7,30-end,530.066666666667
378,1220047,200,7,0-10,301.4
379,1220047,200,8,10-20,493.8
380,1220047,200,8,20-30,524.8
381,1220047,200,8,30-end,577.933333333333
382,1220047,200,8,0-10,387.0
383,1220047,200,9,10-20,376.3
384,1220047,200,9,20-30,313.4
385,1220047,200,9,30-end,466.533333333333
386,1220047,200,9,0-10,298.1
387,1220047,200,10,10-20,232.4
388,1220047,200,10,20-30,293.0
389,1220047,200,10,30-end,394.866666666667
390,1220047,200,10,0-10,271.6
391,1210072,100,1,10-20,388.9
392,1210072,100,1,20-30,540.2
393,1210072,100,1,0-10,393.1
394,1210072,100,2,10-20,312.9
395,1210072,100,2,20-30,508.6
396,1210072,100,2,0-10,288.6
397,1210072,100,3,10-20,424.9
398,1210072,100,3,20-30,485.8
399,1210072,100,3,0-10,361.2
400,1210072,100,4,10-20,356.9
401,1210072,100,4,20-30,428.0
402,1210072,100,4,0-10,360.8
403,1210072,100,5,10-20,236.1
404,1210072,100,5,20-30,284.5
405,1210072,100,5,0-10,278.2
406,1210072,200,6,10-20,457.9
407,1210072,200,6,20-30,458.5
408,1210072,200,6,0-10,433.6
409,1210072,200,7,10-20,460.6
410,1210072,200,7,20-30,366.7
411,1210072,200,7,0-10,271.5
412,1210072,200,8,10-20,395.3
413,1210072,200,8,20-30,551.0
414,1210072,200,8,0-10,415.7
415,1210072,200,9,10-20,470.1
416,1210072,200,9,20-30,421.9
417,1210072,200,9,0-10,308.4
418,1210072,200,10,10-20,258.7
419,1210072,200,10,20-30,284.8
420,1210072,200,10,0-10,279.6
421,1220089,100,1,10-20,523.0
422,1220089,100,1,20-30,591.8
423,1220089,100,1,0-10,431.0
424,1220089,100,2,10-20,349.5
425,1220089,100,2,20-30,351.0
426,1220089,100,2,0-10,349.4
427,1220089,100,3,10-20,464.7
428,1220089,100,3,20-30,325.3
429,1220089,100,3,0-10,478.4
430,1220089,100,4,10-20,397.7
431,1220089,100,4,20-30,390.7
432,1220089,100,4,0-10,313.5
433,1220089,100,5,10-20,239.1
434,1220089,100,5,20-30,223.7
435,1220089,100,5,0-10,307.6
436,1220089,200,6,10-20,613.1
437,1220089,200,6,20-30,655.1
438,1220089,200,6,0-10,438.0
439,1220089,200,7,10-20,390.5
440,1220089,200,7,20-30,522.7
441,1220089,200,7,0-10,313.4
442,1220089,200,8,10-20,546.5
443,1220089,200,8,20-30,621.2
444,1220089,200,8,0-10,444.2
445,1220089,200,9,10-20,412.1
446,1220089,200,9,20-30,582.4
447,1220089,200,9,0-10,321.2
448,1220089,200,10,10-20,341.0
449,1220089,200,10,20-30,361.3
450,1220089,200,10,0-10,286.2
451,1220090,100,1,10-20,473.4
452,1220090,100,1,20-30,681.4
453,1220090,100,1,30-end,591.45
454,1220090,100,1,0-10,466.2
455,1220090,100,2,10-20,424.1
456,1220090,100,2,20-30,396.9
457,1220090,100,2,30-end,401.0
458,1220090,100,2,0-10,328.0
459,1220090,100,3,10-20,439.8
460,1220090,100,3,20-30,461.2
461,1220090,100,3,30-end,496.7
462,1220090,100,3,0-10,431.4
463,1220090,100,4,10-20,389.3
464,1220090,100,4,20-30,432.7
465,1220090,100,4,30-end,417.75
466,1220090,100,4,0-10,343.6
467,1220090,100,5,10-20,205.4
468,1220090,100,5,20-30,205.1
469,1220090,100,5,30-end,282.7
470,1220090,100,5,0-10,265.9
471,1220090,200,6,10-20,592.1
472,1220090,200,6,20-30,680.8
